Timestamp, Rotation x, Rotation y, Rotation z, Marker
9930,-9.4375,-3.4375,2.875,0
9950,-15.5625,2.625,-3.625,0
9970,-16.75,12.8125,-8,0
9990,-10.8125,15.625,-9.125,0
10010,1.8125,7.1875,-6.75,0
10030,8.8125,-2.0625,-2,0
10050,13,-6.9375,5.75,0
10070,7.8125,-8.9375,5.4375,0
10090,3.25,-13.125,3.125,0
10110,-1.4375,-9.75,1.4375,0
10130,-3.9375,-5.8125,0.0625,0
10150,2.375,-3.75,-1.3125,0
10170,0.875,6.125,-6.875,0
10190,-3.25,11.6875,-9.6875,0
10210,-0.625,5.8125,-10.3125,0
10230,-1.625,-3.3125,-2.125,0
10250,-5.25,-10.5625,6.75,0
10270,-0.9375,-12.375,8.25,0
10290,3.9375,-10.75,4,0
10310,6.625,-3.6875,-2.25,0
10330,3.625,2.6875,-7.6875,0
10350,0.9375,0.4375,-3.5,0
10370,-3.375,-0.875,-1.6875,0
10390,-3.4375,2.5625,-2.5625,0
10410,3.0625,4.1875,-4.25,0
10430,7.5625,2.6875,-2.75,0
10450,5.3125,0.25,-1.5625,0
10470,2.6875,-4.75,3.4375,0
10490,-2.6875,-2.8125,3.9375,0
10510,-9.5625,2.625,-2.25,0
10530,-7.5,2,-2.625,0
10550,-7,3.25,-1.1875,0
10570,-3.5,0.25,1.25,0
10590,0.9375,0.5,-0.1875,0
10610,5.125,-0.5,1.0625,0
10630,3.125,2.5625,0.125,0
10650,-0.3125,-1.125,0.625,0
10670,-4.0625,-5,0,0
10690,-9,-2.5625,-2.625,0
10710,-7.3125,8.3125,-2.8125,0
10730,-1.5625,6.8125,-6.5,0
10750,4.875,-1.3125,-4.875,0
10770,9.4375,-1.375,2,0
10790,9.75,-2.5,4.5,0
10810,3.8125,-5.3125,3.5,0
10830,-3.875,-4.9375,2.125,0
10850,-13,3.8125,-0.875,0
10870,-12.5625,10.5,-5.6875,0
10890,-11.875,8.75,-10.5625,0
10910,-6.625,0.375,0,0
10930,0.6875,-6.5,8.4375,0
10950,6.9375,-9.8125,8.625,0
10970,9.5,-7,1.3125,0
10990,9.0625,3.0625,-2.875,0
11010,4.0625,8.125,-5.8125,0
11030,-0.9375,5.3125,-7.5,0
11050,-2.5625,-0.9375,-1.5,0
11070,-7.25,-5,5.1875,0
11090,-10.125,-8.1875,7.25,0
11110,-8.25,-7.1875,3.1875,0
11130,-6.75,-4.0625,-0.4375,0
11150,-3.0625,-2.875,-3.5625,0
11170,5.125,1,-5.375,0
11190,13.1875,5,-6.875,0
11210,16.375,1,-5.5625,0
11230,16.75,-2.5625,0.125,0
11240,10.0625,-8.625,6.625,0
11260,0.9375,-11.5625,9.5625,0
11280,-8.625,-6.0625,6.4375,0
11300,-13.1875,2.5,0.625,0
11320,-15.875,6.8125,-4.5625,0
11340,-13.6875,6.6875,-5.3125,0
11360,-5.75,2.875,-1.875,0
11380,2.125,-0.375,-0.5625,0
11400,9.75,-0.875,0.5,0
11420,15,-2.5,0.6875,0
11440,14.3125,-5.4375,2.4375,0
11460,8.75,-7.375,3.125,0
11480,0.8125,-6,3,0
11500,-3.75,-4.625,0.375,0
11520,-8.1875,-4.6875,0,0
11540,-8.125,0.1875,-1.5625,0
11560,-7.4375,0.875,-4.0625,0
11580,-3.1875,2.875,-5,0
11600,4.1875,1.5625,-3,0
11620,9.75,-6,-1.125,0
11640,12.9375,-12.5,4.125,0
11660,9.25,-9.3125,6.75,0
11680,1.1875,-9.5625,2.8125,0
11700,-2.6875,-8.25,-2.1875,0
11720,0.75,0,-4.125,0
11740,7.0625,7.5625,-5.125,0
11760,9,2.4375,-5.0625,0
11780,6.0625,-7.5,2.375,0
11800,-1.625,-8.0625,8.8125,0
11820,-6.5,-3.9375,4.25,0
11840,-4.125,-0.375,-2.8125,0
11860,-1.9375,2.625,-4.25,0
11880,1,6.25,-2.125,0
11900,8,0.875,0.8125,0
11920,12.125,-5.875,5.3125,0
11940,13.3125,-9.125,11.5625,0
11960,10,-8.3125,11,0
11980,3.5625,-5.125,5.5,0
12000,-8.5625,-0.9375,0.6875,0
12020,-17.9375,3.375,-0.125,0
12040,-17.25,8.0625,-3.8125,0
12060,-6.875,7.6875,-8,0
12080,2.625,4.0625,-6,0
12100,13.4375,1.1875,1,0
12120,20.8125,-2.5625,4.375,0
12140,22.5625,-3.4375,3.6875,0
12160,17.125,-3.75,2.25,0
12180,10.3125,-1.3125,3.625,0
12200,0.125,-4.8125,8,0
12220,-12.5625,-10.875,12.5,0
12240,-19.375,-8.5,16,0
12260,-19.9375,6.25,17.125,0
12280,-14.1875,29.0625,5.5,0
12300,-4.25,42.375,-9.0625,0
12320,7.8125,44.25,-5.125,0
12340,36.8125,73.9375,2.75,0
12360,32.9375,82.5625,-9.0625,0
12380,81.25,6.0625,-44.375,0
12400,151,-28.375,-132.562,0
12420,136.562,-30.9375,-80.5,0
12440,37.125,-16.0625,30,0
12460,-53.4375,18.375,15,0
12480,-92.375,-6.375,-112.125,0
12500,-124.125,-6.5,-49.9375,0
12520,-45.4375,7.875,9.25,0
12540,24.9375,-75.75,-55.4375,0
12560,-11.0625,-48.625,-37.5625,0
12580,-26.6875,4.1875,-39.25,0
12600,58.5,65.375,-30.6875,0
12620,72.875,15.25,109.438,0
12640,71.9375,36.5,75.6875,0
12660,99.375,-50.0625,-35.8125,0
12680,237.375,-23.375,22.4375,0
12700,262.5,93.375,196.938,0
