Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
2695,24,-5,-10,-51,-81,-13,-9,34,
2700,20,41,1,83,41,12,20,4,
2705,-3,-7,14,-9,27,17,7,-18,
2710,-17,-6,-29,57,40,4,-1,4,
2715,-2,-18,-9,-23,-47,-27,-17,-15,
2720,20,2,14,-35,-30,-10,-20,-1,
2725,12,24,4,24,-5,13,44,23,
2730,8,28,-8,-2,18,-8,-1,-11,
2735,-12,-18,15,11,45,26,13,4,
2740,-10,-20,14,14,23,-1,-13,0,
2745,-15,15,-9,-86,-63,-7,-13,-32,
2750,-7,-43,-28,53,-45,-24,-3,-13,
2755,30,20,12,17,16,-1,6,18,
2760,3,15,-41,-9,1,-1,-5,0,
2765,-6,-2,8,50,65,21,5,-22,
2770,-5,32,7,-43,4,8,3,11,
2775,-29,-37,-9,-25,-64,-21,-5,-31,
2780,-5,-32,28,-26,-5,-9,-16,6,
2785,13,12,-30,27,-25,-9,-16,11,
2790,-2,1,-5,59,60,14,3,-1,
2795,8,24,5,-31,25,28,11,3,
2800,-13,-28,-15,21,-46,-3,-4,-9,
2805,-1,-14,-9,-12,-42,-22,11,16,
2810,22,28,4,-12,-13,-16,-18,11,
2815,-11,2,11,59,81,37,46,-10,
2820,2,17,-2,-58,10,10,-30,9,
2825,-15,-12,0,-30,-21,-16,-36,-23,
2830,14,-2,-15,11,-45,-15,-3,27,
